KD_OBAT,TGL,qty
AI-0050,2015-04-20,899.75
AI-0050,2015-04-27,430.5
AI-0050,2015-05-04,627.5
AI-0050,2015-05-11,587
AI-0050,2015-05-18,637
AI-0050,2015-05-25,463
AI-0050,2015-06-01,673
AI-0050,2015-06-08,585
AI-0050,2015-06-15,680
AI-0050,2015-06-22,670
AI-0050,2015-06-29,583.5
AI-0050,2015-07-06,576
AI-0050,2015-07-13,507
AI-0050,2015-07-20,638.5
AI-0050,2015-07-27,313.5
AI-0050,2015-08-03,734
AI-0050,2015-08-10,803.5
AI-0050,2015-08-17,519
AI-0050,2015-08-24,606.5
AI-0050,2015-08-31,713
AI-0050,2015-09-07,752
AI-0050,2015-09-14,1891
AI-0050,2015-09-21,891.5
AI-0050,2015-09-28,1537.5
AI-0050,2015-10-05,808.5
AI-0050,2015-10-12,860
AI-0050,2015-10-19,995.5
AI-0050,2015-10-26,1709.5
AI-0050,2015-11-02,1073.5
AI-0050,2015-11-09,862.5
AI-0050,2015-11-16,652
AI-0050,2015-11-23,830
AI-0050,2015-11-30,900.5
AI-0050,2015-12-07,876
AI-0050,2015-12-14,884
AI-0050,2015-12-21,653
AI-0050,2015-12-28,572
AI-0051,2014-12-29,11
AI-0051,2015-01-05,35
AI-0051,2015-01-12,25
AI-0051,2015-01-19,291
AI-0051,2015-01-26,221
AI-0051,2015-02-02,337
AI-0051,2015-02-09,268
AI-0051,2015-02-16,176
AI-0051,2015-02-23,268
AI-0051,2015-03-02,289
AI-0051,2015-03-09,303
AI-0051,2015-03-16,166
AI-0051,2015-03-23,232
AI-0051,2015-03-30,117
AI-0051,2015-04-06,232
AI-0051,2015-04-13,137
AI-0051,2015-04-20,363
AI-0051,2015-04-27,3
AI-0051,2015-05-04,354
AI-0051,2015-05-11,65
AI-0051,2015-05-18,193
AI-0051,2015-05-25,98
AI-0051,2015-06-01,93
AI-0051,2015-06-08,158
AI-0051,2015-06-15,90
AI-0051,2015-06-22,60
AI-0051,2015-06-29,120
AI-0051,2015-07-06,151
AI-0051,2015-07-13,30
AI-0051,2015-07-20,60
AI-0051,2015-08-03,240
AI-0051,2015-08-10,90
AI-0051,2015-08-17,60
AI-0051,2015-08-24,90
AI-0051,2015-08-31,411
AI-0051,2015-09-07,159
AI-0051,2015-09-14,60
AI-0051,2015-09-21,150
AI-0051,2015-09-28,150
AI-0051,2015-10-05,267
AI-0051,2015-10-12,216
AI-0051,2015-10-19,232
AI-0051,2015-10-26,270
AI-0051,2015-11-02,202
AI-0051,2015-11-09,240
AI-0051,2015-11-16,190
AI-0051,2015-11-23,218
AI-0051,2015-11-30,372
AI-0051,2015-12-07,243
AI-0051,2015-12-14,411
AI-0051,2015-12-21,233
AI-0051,2015-12-28,2
AI-0052,2014-12-29,18
AI-0052,2015-01-05,108
AI-0052,2015-01-12,71
AI-0052,2015-01-19,149
AI-0052,2015-01-26,107
AI-0052,2015-02-02,519
AI-0052,2015-02-09,580
AI-0052,2015-02-16,553
AI-0052,2015-02-23,184
AI-0052,2015-03-02,660
AI-0052,2015-03-09,569
AI-0052,2015-03-16,491
AI-0052,2015-03-23,469
AI-0052,2015-03-30,511
AI-0052,2015-04-06,524
AI-0052,2015-04-13,455
AI-0052,2015-04-20,958
AI-0052,2015-04-27,864
AI-0052,2015-05-04,403
AI-0052,2015-05-11,73
AI-0052,2015-05-18,531
AI-0052,2015-05-25,44
AI-0052,2015-06-01,427
AI-0052,2015-06-08,620
AI-0052,2015-06-15,178
AI-0052,2015-06-22,211
AI-0052,2015-06-29,350
AI-0052,2015-07-06,348
AI-0052,2015-07-13,271
AI-0052,2015-07-20,255
AI-0052,2015-07-27,10
AI-0052,2015-08-03,526
AI-0052,2015-08-10,455
AI-0052,2015-08-17,285
AI-0052,2015-08-24,513
AI-0052,2015-08-31,230
AI-0052,2015-09-07,541
AI-0052,2015-09-14,450
AI-0052,2015-09-21,545
AI-0052,2015-09-28,827
AI-0052,2015-10-05,759
AI-0052,2015-10-12,516
AI-0052,2015-10-19,464
AI-0052,2015-10-26,499
AI-0052,2015-11-02,593
AI-0052,2015-11-09,502
AI-0052,2015-11-16,551
AI-0052,2015-11-23,963
AI-0052,2015-11-30,720
AI-0052,2015-12-07,668
AI-0052,2015-12-14,596
AI-0052,2015-12-21,527
AI-0052,2015-12-28,24
AI-0066,2014-12-29,50
AI-0066,2015-01-26,4
AI-0066,2015-02-02,25
AI-0066,2015-02-09,175
AI-0066,2015-02-16,119.5
AI-0066,2015-02-23,160
AI-0066,2015-03-02,235
AI-0066,2015-03-09,200
AI-0066,2015-03-16,185
AI-0066,2015-03-23,257
AI-0066,2015-03-30,267
AI-0066,2015-04-06,206
AI-0066,2015-04-13,277.75
AI-0066,2015-04-20,252.5
AI-0066,2015-04-27,182
AI-0066,2015-05-04,245
AI-0066,2015-05-11,117.6
AI-0066,2015-05-18,170
AI-0066,2015-05-25,152
AI-0066,2015-06-01,259
AI-0066,2015-06-08,191
AI-0066,2015-06-15,231
AI-0066,2015-06-22,346
AI-0066,2015-06-29,345
AI-0066,2015-07-06,220
AI-0066,2015-07-13,473.3
AI-0066,2015-07-20,205
AI-0066,2015-07-27,28
AI-0066,2015-08-03,308
AI-0066,2015-08-10,353
AI-0066,2015-08-17,339
AI-0066,2015-08-24,268
AI-0066,2015-08-31,345
AI-0066,2015-09-07,768
AI-0066,2015-09-14,372
AI-0066,2015-09-21,379.6
AI-0066,2015-09-28,550
AI-0066,2015-10-05,475
AI-0066,2015-10-12,705
AI-0066,2015-10-19,527
AI-0066,2015-10-26,396
AI-0066,2015-11-02,462
AI-0066,2015-11-09,365.6
AI-0066,2015-11-16,429
AI-0066,2015-11-23,354.8
AI-0066,2015-11-30,284
AI-0066,2015-12-07,208.2
AI-0066,2015-12-14,279
AI-0066,2015-12-21,144
AI-0066,2015-12-28,166
AI-0067,2014-12-29,37
AI-0067,2015-01-05,211
AI-0067,2015-01-12,459
AI-0067,2015-01-19,164
AI-0067,2015-01-26,65
AI-0067,2015-02-02,508
AI-0067,2015-02-09,485
AI-0067,2015-02-16,822
AI-0067,2015-02-23,437
AI-0067,2015-03-02,724
AI-0067,2015-03-09,945
AI-0067,2015-03-16,808
AI-0067,2015-03-23,498
AI-0067,2015-03-30,323
AI-0067,2015-04-06,415
AI-0067,2015-04-13,496
AI-0067,2015-04-20,1881
AI-0067,2015-04-27,766
AI-0067,2015-05-04,864
AI-0067,2015-05-11,740
AI-0067,2015-05-18,1349
AI-0067,2015-05-25,1646
AI-0067,2015-06-01,1331
AI-0067,2015-06-08,911
AI-0067,2015-06-15,989
AI-0067,2015-06-22,1178
AI-0067,2015-06-29,1283
AI-0067,2015-07-06,1109
AI-0067,2015-07-13,952
AI-0067,2015-07-20,704
AI-0067,2015-07-27,26
AI-0067,2015-08-03,1922
AI-0067,2015-08-10,1635
AI-0067,2015-08-17,1297
AI-0067,2015-08-24,932
AI-0067,2015-08-31,960
AI-0067,2015-09-07,1155
AI-0067,2015-09-14,1022
AI-0067,2015-09-21,1495
AI-0067,2015-09-28,1291
AI-0067,2015-10-05,1647
AI-0067,2015-10-12,1570
AI-0067,2015-10-19,2066
AI-0067,2015-10-26,1417
AI-0067,2015-11-02,1409
AI-0067,2015-11-09,1700
AI-0067,2015-11-16,1332
AI-0067,2015-11-23,899
AI-0067,2015-11-30,894
AI-0067,2015-12-07,1421
AI-0067,2015-12-14,1009
AI-0067,2015-12-21,617
AI-0067,2015-12-28,518
AI-0068,2014-12-29,161
AI-0068,2015-01-05,595
AI-0068,2015-01-12,319
AI-0068,2015-01-19,644
AI-0068,2015-01-26,777
AI-0068,2015-02-02,721
AI-0068,2015-02-09,443
AI-0068,2015-02-16,1267
AI-0068,2015-02-23,264
AI-0068,2015-03-02,1843
AI-0068,2015-03-09,1646
AI-0068,2015-03-16,1857
AI-0068,2015-03-23,1017
AI-0068,2015-03-30,777
AI-0068,2015-04-06,884
AI-0068,2015-04-13,1217
AI-0068,2015-04-20,2968
AI-0068,2015-04-27,1564
AI-0068,2015-05-04,1851
AI-0068,2015-05-11,1417
AI-0068,2015-05-18,2396
AI-0068,2015-05-25,1178
AI-0068,2015-06-01,2720
AI-0068,2015-06-08,2033
AI-0068,2015-06-15,1893
AI-0068,2015-06-22,2163
AI-0068,2015-06-29,1870
AI-0068,2015-07-06,1375
AI-0068,2015-07-13,1204
AI-0068,2015-07-20,291
AI-0068,2015-07-27,20
AI-0068,2015-08-03,110
AI-0068,2015-08-10,1292
AI-0068,2015-08-17,2226
AI-0068,2015-08-24,271
AI-0068,2015-08-31,13
AI-0068,2015-09-07,329
AI-0068,2015-09-14,1995
AI-0068,2015-09-21,1376
AI-0068,2015-09-28,1532
AI-0068,2015-10-05,1537
AI-0068,2015-10-12,1203
AI-0068,2015-10-19,1571
AI-0068,2015-10-26,850
AI-0068,2015-11-02,335
AI-0068,2015-11-09,48
AI-0068,2015-11-16,295
AI-0068,2015-11-23,1936
AI-0068,2015-11-30,1596
AI-0068,2015-12-07,1044
AI-0068,2015-12-14,1130
AI-0068,2015-12-21,225
AI-0068,2015-12-28,420
AI-0073,2014-12-29,2
AI-0073,2015-01-05,5
AI-0073,2015-01-12,2
AI-0073,2015-01-19,6
AI-0073,2015-01-26,4
AI-0073,2015-02-02,2
AI-0073,2015-02-09,15
AI-0073,2015-02-16,8
AI-0073,2015-02-23,9
AI-0073,2015-03-02,12
AI-0073,2015-03-09,12
AI-0073,2015-03-16,13
AI-0073,2015-03-23,7
AI-0073,2015-03-30,17
AI-0073,2015-04-06,1
AI-0073,2015-04-13,6
AI-0073,2015-04-20,6
AI-0073,2015-04-27,3
AI-0073,2015-05-04,11
AI-0073,2015-05-11,5
AI-0073,2015-05-18,10
AI-0073,2015-05-25,4
AI-0073,2015-06-01,6
AI-0073,2015-06-08,5
AI-0073,2015-06-15,10
AI-0073,2015-06-22,3
AI-0073,2015-06-29,11
AI-0073,2015-07-06,4
AI-0073,2015-07-13,7
AI-0073,2015-07-20,8
AI-0073,2015-07-27,1
AI-0073,2015-08-03,13
AI-0073,2015-08-10,4
AI-0073,2015-08-17,4
AI-0073,2015-08-24,8
AI-0073,2015-08-31,4
AI-0073,2015-09-07,7
AI-0073,2015-09-14,8
AI-0073,2015-09-21,10
AI-0073,2015-09-28,11
AI-0073,2015-10-05,4
AI-0073,2015-10-12,8
AI-0073,2015-10-19,7
AI-0073,2015-10-26,5
AI-0073,2015-11-02,1
AI-0073,2015-11-09,7
AI-0073,2015-11-16,9
AI-0073,2015-11-23,9
AI-0073,2015-11-30,4
AI-0073,2015-12-07,8
AI-0073,2015-12-14,7
AI-0073,2015-12-21,4
AI-0073,2015-12-28,5
AI-0075,2014-12-29,207
AI-0075,2015-01-05,424
AI-0075,2015-01-12,420
AI-0075,2015-01-19,575
AI-0075,2015-01-26,417
AI-0075,2015-02-02,886
AI-0075,2015-02-09,1009.5
AI-0075,2015-02-16,837
AI-0075,2015-02-23,966
AI-0075,2015-03-02,1009
AI-0075,2015-03-09,1104
AI-0075,2015-03-16,1265
AI-0075,2015-03-23,1041.5
AI-0075,2015-03-30,608
AI-0075,2015-04-06,845
AI-0075,2015-04-13,639
AI-0075,2015-04-20,741
AI-0075,2015-04-27,670
AI-0075,2015-05-04,776
AI-0075,2015-05-11,740
AI-0075,2015-05-18,1097
AI-0075,2015-05-25,650
AI-0075,2015-06-01,865
AI-0075,2015-06-08,985
AI-0075,2015-06-15,1113
AI-0075,2015-06-22,1051
AI-0075,2015-06-29,839
AI-0075,2015-07-06,661
AI-0075,2015-07-13,2080
AI-0075,2015-07-20,762
AI-0075,2015-07-27,218
AI-0075,2015-08-03,787
AI-0075,2015-08-10,1084
AI-0075,2015-08-17,1068
AI-0075,2015-08-24,1086
AI-0075,2015-08-31,1180
AI-0075,2015-09-07,1073
AI-0075,2015-09-14,3086
AI-0075,2015-09-21,759
AI-0075,2015-09-28,1201
AI-0075,2015-10-05,850
AI-0075,2015-10-12,1015
AI-0075,2015-10-19,911
AI-0075,2015-10-26,1293
AI-0075,2015-11-02,749.75
AI-0075,2015-11-09,840
AI-0075,2015-11-16,993
AI-0075,2015-11-23,782
AI-0075,2015-11-30,1042
AI-0075,2015-12-07,693
AI-0075,2015-12-14,808
AI-0075,2015-12-21,575
AI-0075,2015-12-28,405
AI-0091,2014-12-29,57
AI-0091,2015-01-05,149
AI-0091,2015-01-12,138
AI-0091,2015-01-19,161
AI-0091,2015-01-26,86
AI-0091,2015-02-02,6
AI-0091,2015-02-09,23
AI-0091,2015-02-16,77
AI-0091,2015-02-23,60
AI-0091,2015-03-02,168
AI-0091,2015-03-09,301
AI-0091,2015-03-16,101
AI-0091,2015-03-23,157
AI-0091,2015-03-30,62
AI-0091,2015-04-06,58
AI-0091,2015-04-13,86
AI-0091,2015-04-20,170
AI-0091,2015-04-27,58
AI-0091,2015-05-04,291
AI-0091,2015-05-11,187
AI-0091,2015-05-18,104
AI-0091,2015-05-25,29
AI-0091,2015-06-01,148
AI-0091,2015-06-08,247
AI-0091,2015-06-15,76
AI-0091,2015-06-22,94
AI-0091,2015-06-29,12
AI-0091,2015-07-13,7
AI-0091,2015-07-20,45
AI-0091,2015-07-27,13
AI-0091,2015-08-03,102
AI-0091,2015-08-10,59
AI-0091,2015-08-17,33
AI-0091,2015-08-24,43
AI-0091,2015-08-31,260
AI-0091,2015-09-07,14
AI-0091,2015-09-14,36
AI-0091,2015-09-21,349
AI-0091,2015-09-28,40
AI-0091,2015-10-05,7
AI-0091,2015-10-12,177
AI-0091,2015-10-19,308
AI-0091,2015-10-26,481
AI-0091,2015-11-02,323
AI-0091,2015-11-09,70
AI-0091,2015-12-07,18
AI-0091,2015-12-14,368
AI-0091,2015-12-21,290
AI-0091,2015-12-28,1
AI-0094,2014-12-29,6
AI-0094,2015-01-05,38
AI-0094,2015-01-12,11
AI-0094,2015-01-19,29
AI-0094,2015-01-26,75
AI-0094,2015-02-02,36
AI-0094,2015-02-09,34
AI-0094,2015-02-16,50
AI-0094,2015-03-02,46
AI-0094,2015-03-09,35
AI-0094,2015-03-16,16
AI-0094,2015-03-23,27
AI-0094,2015-03-30,88
AI-0094,2015-04-06,27
AI-0094,2015-04-13,78
AI-0094,2015-04-20,32
AI-0094,2015-04-27,76
AI-0094,2015-05-04,11
AI-0094,2015-05-11,6
AI-0094,2015-05-18,61
AI-0094,2015-05-25,10
AI-0094,2015-06-01,57
AI-0094,2015-06-08,63
AI-0094,2015-06-15,78
AI-0094,2015-06-22,34
AI-0094,2015-06-29,50
AI-0094,2015-07-06,25
AI-0094,2015-07-13,30
AI-0094,2015-07-20,45
AI-0094,2015-07-27,3
AI-0094,2015-08-03,18
AI-0094,2015-08-10,67
AI-0094,2015-08-17,71
AI-0094,2015-08-24,80
AI-0094,2015-08-31,43
AI-0094,2015-09-07,64
AI-0094,2015-09-14,35
AI-0094,2015-09-21,75
AI-0094,2015-09-28,265
AI-0094,2015-10-05,35
AI-0094,2015-10-12,90
AI-0094,2015-10-19,143
AI-0094,2015-10-26,188
AI-0094,2015-11-02,102
AI-0094,2015-11-09,47
AI-0094,2015-11-16,92
AI-0094,2015-11-23,73
AI-0094,2015-11-30,119
AI-0094,2015-12-07,43
AI-0094,2015-12-14,42
AI-0094,2015-12-21,106
AI-0094,2015-12-28,40
AI-0095,2015-01-12,3
AI-0095,2015-02-02,9
AI-0095,2015-02-09,3
